"title","debut_date","order_id","first_100","first_200","first_300","first_400","first_500","first_600","first_700","first_800","first_900","first_1000","first_1100","first_1200","first_1300","first_1400","first_1500","first_1600","first_1700"
"David Bowie","1986-10-31",15,"35","27","36","30","30","24","27","28","25","19","20","27","28","23","13","8","2"
"Destiny Unbound","1990-09-14",201,"16","8","0","0","0","0","0","0","0","2","5","3","2","5","2","0","0"
"Dinner and a Movie","1987-11-19",34,"17","40","33","16","5","3","1","3","1","0","1","3","3","2","0","1","0"
"Dirt","1997-06-06",860,"23","13","14","4","6","3","6","3","0","0","0","0","0","0","0","0","0"
"Divided Sky","1987-05-11",23,"40","50","44","29","27","29","31","22","10","11","7","23","24","13","12","9","1"
"Dog Faced Boy","1994-04-14",575,"21","10","1","2","4","5","4","1","2","1","1","0","0","0","0","0","0"
"Dogs Stole Things","1997-06-06",860,"23","7","4","0","2","0","2","1","0","0","0","0","0","0","0","0","0"
"Down with Disease","1994-04-04",567,"53","9","29","23","26","25","30","30","28","24","9","0","0","0","0","0","0"
"Driver","1998-10-17",964,"13","9","5","3","1","2","2","0","0","0","0","0","0","0","0","0","0"
"Drowned","1995-10-31",739,"2","6","5","6","10","5","4","3","2","0","0","0","0","0","0","0","0"
"Esther","1988-09-12",70,"22","25","14","14","13","10","5","3","2","0","1","5","1","2","1","0","0"
"Farmhouse","1997-11-16",902,"14","24","6","5","5","12","9","2","0","0","0","0","0","0","0","0","0"
"Fast Enough for You","1992-11-19",434,"22","11","10","7","1","3","6","6","4","3","2","1","0","0","0","0","0"
"Fee","1987-08-10",26,"42","32","26","24","33","29","24","18","4","5","6","2","6","4","1","3","1"
"Fire","1984-12-01",3,"30","7","9","7","9","8","6","12","6","4","2","5","4","3","2","1","1"
"First Tube","1999-09-09",1018,"37","8","16","12","14","13","1","0","0","0","0","0","0","0","0","0","0"
"Fluffhead","1984-12-01",3,"52","9","17","19","15","19","14","9","7","10","7","5","25","16","6","7","2"
"Fly Famous Mockingbird","1988-02-07",37,"24","8","13","12","13","10","5","4","0","1","1","1","4","1","2","0","0"
"Foam","1988-10-29",73,"39","44","61","42","35","30","12","7","6","2","5","9","7","3","2","1","0"
"Frankenstein","1989-11-11",129,"4","6","0","0","5","8","12","13","10","9","12","4","1","4","2","0","0"
"Frankie Says","1998-04-02",925,"15","5","5","1","1","2","0","0","0","0","0","0","0","0","0","0","0"
"Free","1995-05-16",691,"33","25","8","16","17","19","20","26","20","7","0","0","0","0","0","0","0"
"Free Bird","1987-03-06",19,"1","0","0","0","0","17","1","0","0","5","1","0","1","0","0","0","0"
"Fuego","2013-10-31",1395,"37","22","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Funky Bitch","1986-12-06",16,"29","15","6","1","7","2","6","12","19","24","15","3","21","22","8","15","2"
"Ghost","1997-06-06",860,"37","22","12","20","19","26","26","16","0","0","0","0","0","0","0","0","0"
"Ginseng Sullivan","1993-08-11",550,"25","2","7","17","11","6","4","5","2","2","1","0","0","0","0","0","0"
"Glide","1991-09-27",307,"26","31","23","12","3","2","1","3","3","1","2","2","1","1","0","0","0"
"Golden Age","2009-11-27",1222,"8","21","12","10","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Golgi Apparatus","1986-10-12",13,"60","42","57","48","35","34","32","11","4","16","16","16","22","12","9","8","1"
"Good Times Bad Times","1986-12-06",16,"39","26","11","8","12","17","11","8","7","7","4","8","9","13","8","3","2"
"Gotta Jibboo","1999-09-10",1019,"33","12","15","9","6","9","2","0","0","0","0","0","0","0","0","0","0"
"Guelah Papyrus","1991-02-01",234,"47","37","38","20","12","12","4","4","2","2","9","3","2","5","0","0","0"
"Gumbo","1990-09-28",207,"10","0","0","2","10","12","10","10","8","5","9","12","7","7","3","0","0"
"Guyute","1994-10-07",641,"20","11","17","31","20","11","9","4","2","4","0","0","0","0","0","0","0"
"Ha Ha Ha","1995-05-16",691,"12","3","3","3","1","2","4","2","1","0","0","0","0","0","0","0","0"
"Halfway to the Moon","2010-06-19",1241,"5","17","16","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Halley's Comet","1986-10-12",13,"11","0","0","0","3","7","11","4","2","9","8","11","16","18","14","9","2"
"Harpua","1987-05-11",23,"21","4","3","5","4","7","5","2","4","4","0","5","3","1","2","1","0"
"Harry Hood","1985-10-30",7,"25","21","16","21","13","22","25","25","29","22","19","26","28","31","28","20","5"
"Heavy Things","1999-09-11",1020,"38","11","10","14","15","6","0","0","0","0","0","0","0","0","0","0","0"
"Hello My Baby","1995-09-27",715,"28","14","7","5","2","0","0","0","0","1","0","0","0","0","0","0","0"
"Highway to Hell","1989-10-01",116,"24","10","2","3","12","10","2","3","0","0","2","0","0","0","0","0","0"
"Hold Your Head Up","1990-06-05",194,"29","22","36","42","24","14","6","9","5","9","5","7","6","2","2","0","0"
"Hold Your Head Up > Love You > Hold Your Head Up","1990-06-07",195,"9","7","8","7","3","0","0","0","1","0","0","0","0","0","0","0","0"
"Horn","1990-05-24",190,"11","22","22","16","10","9","5","5","14","14","8","6","10","8","2","0","0"
"I'm Blue, I'm Lonesome","1994-11-16",667,"27","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"I Am Hydrogen","1986-10-15",14,"27","57","48","36","28","10","9","3","4","4","9","16","11","7","3","5","0"
"I Didn't Know","1987-11-18",33,"39","28","31","25","32","14","14","9","3","5","5","8","4","6","5","6","0"
"If I Could","1994-04-04",567,"28","15","2","1","0","1","2","4","1","0","3","0","0","0","0","0","0"
"It's Ice","1991-09-25",305,"40","44","42","28","22","9","5","5","5","9","9","10","4","1","0","0","0"
"Jam","1986-10-31",15,"7","0","0","4","2","2","4","5","13","7","15","4","3","0","1","1","0"
"Jesus Just Left Chicago","1987-08-10",26,"14","13","7","2","3","4","3","2","8","3","2","1","5","3","1","1","0"
"Joy","2009-06-07",1190,"19","12","6","8","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Julius","1994-04-04",567,"55","29","21","17","12","8","16","27","20","14","4","0","0","0","0","0","0"
"Kill Devil Falls","2009-06-02",1186,"28","30","20","10","4","0","0","0","0","0","0","0","0","0","0","0","0"
"Kung","1989-11-02",125,"1","0","0","3","3","2","5","1","2","1","3","2","2","0","1","0","0"
"La Grange","1987-08-09",25,"25","24","2","0","0","3","0","1","4","3","1","0","0","1","0","0","0"
"Lawn Boy","1989-11-30",131,"28","26","11","24","7","7","5","7","11","10","15","11","14","16","7","0","0"
"Letter to Jimmy Page","1985-10-30",7,"20","5","1","0","0","0","2","0","0","0","0","0","2","3","1","2","1"
"Lifeboy","1993-02-03",458,"8","20","11","5","2","1","1","3","1","0","1","3","0","0","0","0","0"
"Light","2009-05-31",1185,"24","27","24","20","6","0","0","0","0","0","0","0","0","0","0","0","0"
"Limb By Limb","1997-06-06",860,"33","28","23","20","13","10","13","7","0","0","0","0","0","0","0","0","0"
"Llama","1990-10-30",216,"67","57","53","27","19","15","10","8","7","8","4","4","3","6","0","0","0"
"Love You","1987-10-31",32,"2","4","3","4","4","1","2","0","0","0","1","3","1","0","1","0","0"
"Loving Cup","1993-02-03",458,"9","2","4","9","20","18","14","17","19","9","12","5","0","0","0","0","0"
"Magilla","1990-09-13",200,"38","12","1","6","0","0","3","1","2","1","0","0","0","0","0","0","0"
"Makisupa Policeman","1984-12-01",3,"17","3","1","1","0","5","5","10","9","8","8","11","10","4","2","6","1"
"Martian Monster","2014-10-31",1439,"21","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maze","1992-01-14",350,"49","51","39","31","26","18","13","14","12","17","18","14","8","0","0","0","0"
"McGrupp and the Watchful Hosemasters","1985-10-17",6,"27","15","3","3","4","7","10","6","5","5","2","2","4","3","3","2","0"
"Meat","1998-07-02",931,"13","9","2","2","4","2","7","0","0","0","0","0","0","0","0","0","0"
"Meatstick","1997-06-25",869,"1","15","7","4","12","13","10","5","0","0","0","0","0","0","0","0","0"
"Memories","1991-09-26",306,"17","5","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike's Song","1985-05-03",5,"32","57","51","40","30","29","27","20","16","23","21","22","26","27","24","14","3"
"Mound","1992-01-14",350,"22","32","16","15","5","0","0","1","1","8","11","3","3","0","0","0","0"
"My Friend, My Friend","1992-01-14",350,"17","35","18","15","9","4","3","3","6","14","11","10","7","0","0","0","0"
"My Mind's Got a Mind of its Own","1992-01-14",350,"7","8","5","4","3","5","4","4","2","1","1","0","0","0","0","0","0"
"My Soul","1997-02-13",844,"34","12","12","1","8","6","5","2","0","0","0","0","0","0","0","0","0"
"My Sweet One","1989-09-09",113,"41","68","41","25","10","11","2","0","3","2","4","3","5","6","5","1","0"
"Narration","1988-06-21",55,"2","0","5","3","13","15","0","0","1","0","0","0","0","0","0","0","0"
"Nellie Kane","1993-02-23",475,"18","22","1","0","0","5","1","2","10","5","5","3","0","0","0","0","0"
"NICU","1992-01-14",350,"13","0","5","10","12","17","16","13","17","15","8","8","8","0","0","0","0"
"No Men In No Man's Land","2015-07-21",1446,"25","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ocelot","2009-05-31",1185,"27","27","18","12","3","0","0","0","0","0","0","0","0","0","0","0","0"
"Party Time","2009-08-15",1210,"9","8","5","7","2","0","0","0","0","0","0","0","0","0","0","0","0"
"Paul and Silas","1990-09-13",200,"25","20","16","13","2","1","1","2","0","0","2","2","1","0","0","0","0"
"Peaches en Regalia","1986-10-15",14,"40","0","0","0","0","10","10","0","7","0","3","0","5","3","0","3","0"
"Piper","1997-06-06",860,"25","27","26","25","23","23","14","10","0","0","0","0","0","0","0","0","0"
"Poor Heart","1988-08-04",65,"1","0","38","42","50","36","35","26","12","9","8","13","5","10","9","3","0"
"Possum","1985-10-30",7,"52","67","50","38","22","24","17","21","9","19","20","22","32","32","22","19","2"
"Prince Caspian","1995-06-08",693,"19","29","17","17","12","18","16","10","11","4","0","0","0","0","0","0","0"
"Punch You In the Eye","1989-08-17",110,"6","0","0","13","11","8","14","22","20","16","11","11","10","6","2","0","0"
"Quinn the Eskimo","1986-04-01",11,"7","0","0","0","0","0","0","0","0","3","2","0","9","11","4","2","0"
"Reba","1989-10-01",116,"50","50","43","32","23","28","27","17","17","8","13","19","11","13","8","1","0"
"Rift","1990-02-25",157,"6","6","42","61","45","27","15","1","5","10","7","20","21","10","9","0","0"
"Rock and Roll","1998-10-31",970,"10","13","19","22","9","9","4","0","0","0","0","0","0","0","0","0","0"
"Rocky Top","1987-09-21",30,"15","12","31","25","17","15","11","9","18","8","6","1","6","4","7","5","0"
"Roggae","1998-06-30",929,"33","15","3","7","9","17","10","0","0","0","0","0","0","0","0","0","0"
"Roses Are Free","1997-12-11",918,"8","4","2","12","15","4","4","0","0","0","0","0","0","0","0","0","0"
"Run Like an Antelope","1985-05-03",5,"33","41","22","30","29","36","36","30","21","22","19","21","30","31","25","20","3"
"Runaway Jim","1990-03-28",166,"43","51","47","39","29","25","27","12","16","14","17","18","11","8","5","0","0"
"Sample in a Jar","1993-02-04",459,"21","63","38","34","19","15","20","25","22","18","11","4","0","0","0","0","0"
"Sand","1999-09-11",1020,"25","2","14","24","22","19","2","0","0","0","0","0","0","0","0","0","0"
"Sanity","1986-10-15",14,"13","0","0","6","0","1","1","1","1","2","0","1","5","3","3","3","0"
"Saw It Again","1997-06-06",860,"8","3","6","1","2","4","7","6","0","0","0","0","0","0","0","0","0"
"Scent of a Mule","1994-04-04",567,"37","28","23","8","5","8","5","10","10","4","3","0","0","0","0","0","0"
"Scents and Subtle Sounds","2003-07-07",1133,"13","2","1","5","8","0","0","0","0","0","0","0","0","0","0","0","0"
"Seven Below","2002-12-31",1117,"20","9","4","8","5","0","0","0","0","0","0","0","0","0","0","0","0"
"Show of Life","2010-06-11",1235,"16","8","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Silent in the Morning","1992-01-14",350,"18","32","18","18","8","5","5","4","12","13","16","7","6","0","0","0","0"
"Simple","1994-05-27",609,"37","21","17","23","15","10","11","10","16","17","2","0","0","0","0","0","0"
"Slave to the Traffic Light","1984-12-01",3,"37","11","1","1","0","9","20","19","20","14","9","11","23","23","20","21","4"
"Sleeping Monkey","1992-01-14",350,"18","5","9","13","4","6","4","5","6","7","5","5","3","0","0","0","0"
"Sneakin' Sally Through the Alley","1985-10-30",7,"28","0","0","0","0","0","0","0","0","7","4","5","7","9","5","6","1"
"Sparkle","1991-09-25",305,"64","53","44","37","29","20","14","11","5","9","8","11","7","3","0","0","0"
"Split Open and Melt","1989-04-15",91,"30","20","32","25","41","33","25","17","12","17","8","12","10","11","10","3","0"
"Stash","1990-09-13",200,"45","47","46","45","34","31","29","20","13","20","21","19","19","11","1","0","0"
"Stealing Time From the Faulty Plan","2009-06-02",1186,"24","20","18","10","4","0","0","0","0","0","0","0","0","0","0","0","0"
"Steam","2011-06-04",1291,"12","9","15","7","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Strange Design","1995-05-16",691,"28","8","4","4","6","5","3","4","0","2","0","0","0","0","0","0","0"
"Sugar Shack","2009-06-07",1190,"10","3","8","7","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Suzy Greenberg","1987-02-13",17,"37","47","59","38","27","25","32","26","11","3","6","13","27","21","14","16","1"
"Sweet Adeline","1990-03-28",166,"10","25","25","18","17","24","14","3","1","0","0","1","0","1","0","0","0"
"Take the 'A' Train","1987-04-29",22,"37","22","12","14","6","3","0","0","0","0","0","0","0","0","0","0","0"
"Taste","1995-06-07",692,"14","45","17","14","17","8","6","6","3","2","0","0","0","0","0","0","0"
"Tela","1988-03-12",43,"9","8","14","7","7","9","9","4","1","4","0","1","5","3","2","3","0"
"Terrapin","1987-09-21",30,"5","3","7","3","4","1","0","1","0","1","0","1","0","0","0","1","0"
"The Ballad of Curtis Loew","1987-04-29",22,"15","6","0","0","2","1","0","0","0","0","1","1","6","3","3","0","1"
"The Curtain","1988-02-24",40,"13","4","20","11","14","13","9","16","3","4","4","0","1","1","0","1","0"
"The Curtain With","1987-08-09",25,"12","0","0","0","0","0","0","0","0","0","3","6","4","4","3","5","0"
"The Horse","1992-01-14",350,"18","30","18","18","8","5","5","3","12","12","6","6","6","0","0","0","0"
"The Landlady","1990-09-13",200,"80","58","22","13","6","0","0","0","0","0","0","0","2","0","2","0","0"
"The Line","2013-10-31",1395,"29","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The Lizards","1988-01-27",35,"52","47","34","20","26","22","23","16","6","7","6","4","5","5","4","8","0"
"The Man Who Stepped Into Yesterday","1987-05-11",23,"22","7","24","14","12","6","11","0","3","3","2","3","0","0","2","3","0"
"The Mango Song","1989-03-30",89,"6","10","18","2","4","13","6","5","5","4","5","6","6","3","2","1","0"
"The Moma Dance","1998-06-30",929,"33","18","20","22","30","25","18","0","0","0","0","0","0","0","0","0","0"
"The Oh Kee Pa Ceremony","1989-08-17",110,"65","53","21","8","10","4","2","2","3","1","3","3","5","1","2","0","0"
"The Old Home Place","1994-06-26",626,"15","5","7","4","3","2","1","1","2","3","0","0","0","0","0","0","0"
"The Sloth","1987-08-09",25,"21","17","27","18","13","9","5","8","5","6","4","3","6","4","3","4","0"
"The Squirming Coil","1990-01-20",142,"43","58","44","38","29","18","15","9","14","14","17","10","7","7","8","0","0"
"The Wedge","1993-02-03",458,"9","0","7","1","5","8","3","12","15","22","18","11","0","0","0","0","0"
"Theme From the Bottom","1995-05-16",691,"31","31","16","9","9","14","15","16","18","3","0","0","0","0","0","0","0"
"Timber (Jerry The Mule)","1987-04-29",22,"15","2","0","0","1","0","2","14","13","3","3","5","13","6","6","7","0"
"Train Song","1996-07-21",788,"18","13","7","1","7","1","4","3","3","0","0","0","0","0","0","0","0"
"Tube","1990-09-13",200,"6","17","1","1","1","3","4","14","14","10","14","23","20","21","6","0","0"
"Tweezer","1990-03-28",166,"46","30","27","32","26","23","19","15","17","18","25","26","30","17","20","0","0"
"Tweezer Reprise","1991-02-01",234,"18","19","32","14","21","17","13","18","16","24","28","26","20","21","0","0","0"
"Twenty Years Later","2009-06-05",1188,"11","5","7","7","5","0","0","0","0","0","0","0","0","0","0","0","0"
"Twist","1997-06-06",860,"14","13","24","11","20","29","22","16","0","0","0","0","0","0","0","0","0"
"Uncle Pen","1990-03-28",166,"46","23","35","29","14","17","11","4","2","5","2","2","0","4","0","0","0"
"Undermind","2009-03-08",1184,"10","8","14","9","7","0","0","0","0","0","0","0","0","0","0","0","0"
"Vultures","1997-06-06",860,"13","8","6","3","4","3","4","2","0","0","0","0","0","0","0","0","0"
"Wading in the Velvet Sea","1997-06-06",860,"12","22","12","12","12","13","10","4","0","0","0","0","0","0","0","0","0"
"Waiting All Night","2013-10-31",1395,"28","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Walk Away","1988-07-23",59,"29","8","1","0","8","2","0","0","0","4","4","4","9","3","3","3","0"
"Walls of the Cave","2002-12-31",1117,"15","6","10","17","12","2","0","0","0","0","0","0","0","0","0","0","0"
"Waste","1996-06-06",774,"28","8","9","9","8","7","5","5","9","0","0","0","0","0","0","0","0"
"Water in the Sky","1997-06-06",860,"24","12","10","14","4","9","6","4","0","0","0","0","0","0","0","0","0"
"Waves","2002-12-31",1117,"17","5","8","8","8","1","0","0","0","0","0","0","0","0","0","0","0"
"Weekapaug Groove","1988-07-23",59,"49","59","41","29","38","18","17","16","19","22","19","23","29","26","19","13","0"
"Weigh","1992-01-14",350,"10","11","4","2","2","3","1","0","2","3","1","2","2","0","0","0","0"
"What's the Use?","1999-07-04",998,"11","2","4","3","7","17","5","0","0","0","0","0","0","0","0","0","0"
"When the Circus Comes","1997-02-13",844,"17","13","12","7","4","7","5","2","0","0","0","0","0","0","0","0","0"
"While My Guitar Gently Weeps","1994-10-31",660,"14","2","0","5","4","4","3","2","0","1","0","0","0","0","0","0","0"
"Whipping Post","1985-11-23",9,"24","7","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0"
"Wilson","1986-10-12",13,"35","12","5","17","17","17","19","17","11","15","14","21","21","18","10","13","2"
"Wingsuit","2013-10-31",1395,"23","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wolfman's Brother","1994-04-04",567,"9","6","15","21","20","21","27","25","26","23","10","0","0","0","0","0","0"
"Ya Mar","1987-02-21",18,"18","35","7","7","6","16","11","28","15","12","13","14","5","9","4","10","0"
"Yarmouth Road","2013-07-05",1362,"18","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"You Enjoy Myself","1986-02-03",10,"66","63","54","36","47","34","27","27","28","23","20","29","25","16","13","11","3"
